type_of_data,dataset,drift,width,encoding,n_init,max_iter,tol,FPR_mean,latency_mean
synthetic,agraw1,abrupt,0.0,exclude,100,1000,0.0002,0.0,0.0
synthetic,agraw2,abrupt,0.0,exclude,100,1000,0.0002,0.5,0.0
synthetic,agraw1,gradual,0.5,exclude,100,1000,0.0002,0.0,0.0
synthetic,agraw1,gradual,1.0,exclude,100,1000,0.0002,0.0,0.0
synthetic,agraw1,gradual,5.0,exclude,100,1000,0.0002,0.0,0.0
synthetic,agraw1,gradual,10.0,exclude,100,1000,0.0002,0.0,0.25
synthetic,agraw1,gradual,20.0,exclude,100,1000,0.0002,0.0,0.25
synthetic,agraw2,gradual,0.5,exclude,100,1000,0.0002,0.5,0.0
synthetic,agraw2,gradual,1.0,exclude,100,1000,0.0002,0.5,0.0
synthetic,agraw2,gradual,5.0,exclude,100,1000,0.0002,0.5,0.0
synthetic,agraw2,gradual,10.0,exclude,100,1000,0.0002,0.5,0.0
synthetic,agraw2,gradual,20.0,exclude,100,1000,0.0002,0.5,0.0
