,Unnamed: 0,type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
0,0,synthetic,agraw1,abrupt,0.0,onehot,any,yes,100,1000,0.0001,0.0,0.0
1,1,synthetic,agraw1,abrupt,0.0,onehot,any,no,100,1000,0.0001,0.0,0.0
2,2,synthetic,agraw2,abrupt,0.0,onehot,any,yes,100,1000,0.0001,0.0,0.5
3,3,synthetic,agraw2,abrupt,0.0,onehot,any,no,100,1000,0.0001,0.0,0.5
4,4,synthetic,agraw1,gradual,0.5,onehot,any,yes,100,1000,0.0001,0.0,0.0
5,5,synthetic,agraw1,gradual,0.5,onehot,any,no,100,1000,0.0001,0.0,0.0
6,6,synthetic,agraw1,gradual,1.0,onehot,any,yes,100,1000,0.0001,0.0,0.0
7,7,synthetic,agraw1,gradual,1.0,onehot,any,no,100,1000,0.0001,0.0,0.0
8,8,synthetic,agraw1,gradual,5.0,onehot,any,yes,100,1000,0.0001,0.0,0.0
9,9,synthetic,agraw1,gradual,5.0,onehot,any,no,100,1000,0.0001,0.0,0.0
10,10,synthetic,agraw1,gradual,10.0,onehot,any,yes,100,1000,0.0001,0.0,0.25
11,11,synthetic,agraw1,gradual,10.0,onehot,any,no,100,1000,0.0001,0.0,0.5
12,12,synthetic,agraw1,gradual,20.0,onehot,any,yes,100,1000,0.0001,0.0,0.25
13,13,synthetic,agraw1,gradual,20.0,onehot,any,no,100,1000,0.0001,0.0,0.25
14,14,synthetic,agraw2,gradual,0.5,onehot,any,yes,100,1000,0.0001,0.0,0.5
15,15,synthetic,agraw2,gradual,0.5,onehot,any,no,100,1000,0.0001,0.0,0.5
16,16,synthetic,agraw2,gradual,1.0,onehot,any,yes,100,1000,0.0001,0.0,0.5
17,17,synthetic,agraw2,gradual,1.0,onehot,any,no,100,1000,0.0001,0.0,0.5
18,18,synthetic,agraw2,gradual,5.0,onehot,any,yes,100,1000,0.0001,0.0,0.5
19,19,synthetic,agraw2,gradual,5.0,onehot,any,no,100,1000,0.0001,0.0,0.5
20,20,synthetic,agraw2,gradual,10.0,onehot,any,yes,100,1000,0.0001,0.0,1.0
21,21,synthetic,agraw2,gradual,10.0,onehot,any,no,100,1000,0.0001,0.0,1.0
22,22,synthetic,agraw2,gradual,20.0,onehot,any,yes,100,1000,0.0001,0.0,0.0
23,23,synthetic,agraw2,gradual,20.0,onehot,any,no,100,1000,0.0001,0.0,0.0
