,type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
0,synthetic,agraw1,abrupt,0.0,exclude,majority,yes,100,1000,0.0001,0.0,0.5
1,synthetic,agraw1,abrupt,0.0,exclude,majority,no,100,1000,0.0001,0.0,1.0
2,synthetic,agraw2,abrupt,0.0,exclude,majority,yes,100,1000,0.0001,0.0,1.0
3,synthetic,agraw2,abrupt,0.0,exclude,majority,no,100,1000,0.0001,0.0,1.0
4,synthetic,agraw1,gradual,0.5,exclude,majority,yes,100,1000,0.0001,0.0,0.5
5,synthetic,agraw1,gradual,0.5,exclude,majority,no,100,1000,0.0001,0.0,1.0
6,synthetic,agraw1,gradual,1.0,exclude,majority,yes,100,1000,0.0001,0.0,0.5
7,synthetic,agraw1,gradual,1.0,exclude,majority,no,100,1000,0.0001,0.0,1.0
8,synthetic,agraw1,gradual,5.0,exclude,majority,yes,100,1000,0.0001,0.0,1.0
9,synthetic,agraw1,gradual,5.0,exclude,majority,no,100,1000,0.0001,0.0,1.0
10,synthetic,agraw1,gradual,10.0,exclude,majority,yes,100,1000,0.0001,0.0,1.0
11,synthetic,agraw1,gradual,10.0,exclude,majority,no,100,1000,0.0001,0.0,1.0
12,synthetic,agraw1,gradual,20.0,exclude,majority,yes,100,1000,0.0001,0.0,0.75
13,synthetic,agraw1,gradual,20.0,exclude,majority,no,100,1000,0.0001,0.0,1.0
14,synthetic,agraw2,gradual,0.5,exclude,majority,yes,100,1000,0.0001,0.0,1.0
15,synthetic,agraw2,gradual,0.5,exclude,majority,no,100,1000,0.0001,0.0,1.0
16,synthetic,agraw2,gradual,1.0,exclude,majority,yes,100,1000,0.0001,0.0,1.0
17,synthetic,agraw2,gradual,1.0,exclude,majority,no,100,1000,0.0001,0.0,1.0
18,synthetic,agraw2,gradual,5.0,exclude,majority,yes,100,1000,0.0001,0.0,1.0
19,synthetic,agraw2,gradual,5.0,exclude,majority,no,100,1000,0.0001,0.0,1.0
20,synthetic,agraw2,gradual,10.0,exclude,majority,yes,100,1000,0.0001,0.0,1.0
21,synthetic,agraw2,gradual,10.0,exclude,majority,no,100,1000,0.0001,0.0,1.0
22,synthetic,agraw2,gradual,20.0,exclude,majority,yes,100,1000,0.0001,0.0,1.0
23,synthetic,agraw2,gradual,20.0,exclude,majority,no,100,1000,0.0001,0.0,1.0
